UserPrincipalName,sAMAccountName,DisplayName,Ext.5,Ext.6,Ext.3,whenCreated,LastSignInDateTime,AccountEnabled
jessica.carter@contoso.com,jessica.carter,Jessica Carter,ENTERPRISEPACK,4,1,2024-07-02,2026-04-30T13:49:00Z,TRUE
jessica.moore@contoso.com,jessica.moore,Jessica Moore,STANDARDPACK,3,0,2025-07-17,2026-05-05T19:15:00Z,TRUE
jessica.torres@contoso.com,jessica.torres,Jessica Torres,SPE_E5,8,1,2021-10-23,2026-05-03T06:11:00Z,TRUE
john.white@contoso.com,john.white,John White,SPE_E3,5,1,2026-02-25,2026-04-29T22:03:00Z,TRUE
joshua.allen@contoso.com,joshua.allen,Joshua Allen,ENTERPRISEPACK,2,1,2026-02-20,2026-04-26T08:00:00Z,TRUE
joshua.taylor@contoso.com,joshua.taylor,Joshua Taylor,SPE_E5,1,1,2021-09-12,2026-02-15T03:00:00Z,TRUE
karen.carter@contoso.com,karen.carter,Karen Carter,SPE_E5,3,1,2021-09-13,2025-07-26T07:00:00Z,FALSE
karen.garcia@contoso.com,karen.garcia,Karen Garcia,SPE_E5,8,1,2024-01-20,2026-05-02T04:46:00Z,TRUE
karen.nelson@contoso.com,karen.nelson,Karen Nelson,ENTERPRISEPACK,5,1,2024-06-16,2026-05-04T06:39:00Z,TRUE
karen.sanchez@contoso.com,karen.sanchez,Karen Sanchez,SPE_E5,8,1,2023-06-27,2026-05-20T16:56:00Z,TRUE
karen.torres@contoso.com,karen.torres,Karen Torres,SPE_E3,6,1,2026-04-02,,TRUE
kenneth.moore@contoso.com,kenneth.moore,Kenneth Moore,SPE_E3,7,1,2025-01-17,2026-05-25T01:42:00Z,TRUE
kenneth.ramirez@contoso.com,kenneth.ramirez,Kenneth Ramirez,SPE_E5,8,0,2022-01-23,2026-05-19T18:13:00Z,TRUE
kenneth.thomas@contoso.com,kenneth.thomas,Kenneth Thomas,SPE_E3,2,1,2023-01-08,2026-03-07T06:00:00Z,TRUE
kimberly.hill@contoso.com,kimberly.hill,Kimberly Hill,SPE_E3,3,1,2024-09-22,2026-05-22T15:00:00Z,TRUE
liam.adams@contoso.com,liam.adams,Liam Adams,SPE_E3,5,1,2023-04-12,2025-09-25T03:00:00Z,FALSE
liam.gonzalez@contoso.com,liam.gonzalez,Liam Gonzalez,ENTERPRISEPACK,4,1,2025-07-20,2025-12-15T22:00:00Z,TRUE
liam.scott@contoso.com,liam.scott,Liam Scott,SPE_E3,1,1,2025-11-11,,TRUE
liam.thomas@contoso.com,liam.thomas,Liam Thomas,SPE_E5,2,1,2026-04-18,,TRUE
linda.torres@contoso.com,linda.torres,Linda Torres,ENTERPRISEPACK,2,0,2025-12-05,2026-05-09T05:27:00Z,TRUE
linda.torres2@contoso.com,linda.torres2,Linda Torres,SPE_E3,8,1,2022-02-01,2026-05-08T04:13:00Z,TRUE
lisa.carter@contoso.com,lisa.carter,Lisa Carter,SPE_E5,8,1,2021-09-21,2026-05-01T21:30:00Z,TRUE
lisa.johnson@contoso.com,lisa.johnson,Lisa Johnson,SPE_E3,5,1,2026-05-07,2026-05-07T22:46:00Z,TRUE
lisa.lopez@contoso.com,lisa.lopez,Lisa Lopez,SPE_E5,8,1,2023-09-16,2026-05-25T11:29:00Z,TRUE
lisa.wilson@contoso.com,lisa.wilson,Lisa Wilson,M365_F1,6,1,2024-12-23,2026-01-30T22:00:00Z,TRUE
margaret.anderson@contoso.com,margaret.anderson,Margaret Anderson,ENTERPRISEPACK,2,1,2023-04-06,2026-04-30T20:31:00Z,TRUE
mark.lewis@contoso.com,mark.lewis,Mark Lewis,STANDARDPACK,6,1,2021-12-03,2026-03-15T22:00:00Z,TRUE
mark.scott@contoso.com,mark.scott,Mark Scott,STANDARDPACK,6,0,2025-12-18,,TRUE
mary.lopez@contoso.com,mary.lopez,Mary Lopez,M365_F1,6,1,2024-01-29,2026-03-02T01:00:00Z,TRUE
mary.martin@contoso.com,mary.martin,Mary Martin,ENTERPRISEPACK,5,1,2022-05-18,2026-05-09T01:07:00Z,TRUE
mary.mitchell@contoso.com,mary.mitchell,Mary Mitchell,SPE_E3,5,1,2026-01-01,2026-03-16T23:00:00Z,TRUE
mary.nelson@contoso.com,mary.nelson,Mary Nelson,SPE_E3,2,1,2025-12-30,,TRUE
mateo.roberts@contoso.com,mateo.roberts,Mateo Roberts,SPE_E3,5,1,2022-02-04,2026-05-12T23:38:00Z,TRUE
matthew.hill@contoso.com,matthew.hill,Matthew Hill,SPE_E3,8,1,2023-04-14,2026-02-20T03:00:00Z,TRUE
melissa.davis@contoso.com,melissa.davis,Melissa Davis,SPE_E5,7,1,2024-08-22,2026-01-01T06:00:00Z,TRUE
melissa.wright@contoso.com,melissa.wright,Melissa Wright,SPE_E5,2,0,2026-01-30,,TRUE
michael.rodriguez@contoso.com,michael.rodriguez,Michael Rodriguez,SPE_E5,2,1,2025-07-07,2026-05-08T17:15:00Z,TRUE
nancy.anderson@contoso.com,nancy.anderson,Nancy Anderson,SPE_E5,8,1,2025-11-16,2026-03-02T21:00:00Z,TRUE
noah.robinson@contoso.com,noah.robinson,Noah Robinson,ENTERPRISEPACK,8,1,2024-03-06,2026-05-06T23:55:00Z,TRUE
noah.scott@contoso.com,noah.scott,Noah Scott,STANDARDPACK,4,1,2023-09-22,2026-05-03T16:07:00Z,TRUE
noah.smith@contoso.com,noah.smith,Noah Smith,SPE_E3,3,1,2021-12-24,2025-09-14T10:00:00Z,FALSE
olivia.robinson@contoso.com,olivia.robinson,Olivia Robinson,STANDARDPACK,3,1,2023-08-29,2026-05-18T17:57:00Z,TRUE
olivia.williams@contoso.com,olivia.williams,Olivia Williams,ENTERPRISEPACK,3,1,2025-12-31,2026-05-17T23:06:00Z,TRUE
patricia.allen@contoso.com,patricia.allen,Patricia Allen,SPE_E5,1,0,2026-01-02,2026-04-11T12:00:00Z,TRUE
patricia.hernandez@contoso.com,patricia.hernandez,Patricia Hernandez,ENTERPRISEPACK,7,1,2023-03-13,2025-07-16T21:00:00Z,TRUE
priya.wright@contoso.com,priya.wright,Priya Wright,M365_F3,6,1,2025-12-29,,TRUE
richard.martinez@contoso.com,richard.martinez,Richard Martinez,SPE_E3,3,1,2022-01-08,2026-02-25T05:00:00Z,TRUE
richard.miller@contoso.com,richard.miller,Richard Miller,SPE_E5,1,1,2024-01-31,2026-05-04T22:17:00Z,TRUE
richard.wright@contoso.com,richard.wright,Richard Wright,SPE_E3,4,1,2023-10-17,2026-04-28T21:32:00Z,TRUE
robert.torres@contoso.com,robert.torres,Robert Torres,M365_F3,6,1,2025-12-04,,TRUE
robert.williams@contoso.com,robert.williams,Robert Williams,SPE_E5,8,1,2024-10-28,2026-04-13T07:00:00Z,TRUE
robert.wright@contoso.com,robert.wright,Robert Wright,SPE_E3,2,0,2024-06-06,2025-10-23T13:00:00Z,TRUE
sandra.hall@contoso.com,sandra.hall,Sandra Hall,SPE_E5,3,1,2024-11-10,2025-06-14T07:00:00Z,TRUE
sarah.ramirez@contoso.com,sarah.ramirez,Sarah Ramirez,ENTERPRISEPACK,5,1,2022-07-31,2026-03-11T19:00:00Z,TRUE
sarah.thompson@contoso.com,sarah.thompson,Sarah Thompson,M365_F1,6,1,2021-08-28,2026-04-27T23:53:00Z,TRUE
sofia.campbell@contoso.com,sofia.campbell,Sofia Campbell,SPE_E3,5,1,2021-09-23,2025-10-06T10:00:00Z,TRUE
stephanie.jones@contoso.com,stephanie.jones,Stephanie Jones,SPE_E5,4,1,2023-02-28,2025-11-18T02:00:00Z,TRUE
stephanie.king@contoso.com,stephanie.king,Stephanie King,ENTERPRISEPACK,3,1,2023-02-01,,TRUE
susan.jones@contoso.com,susan.jones,Susan Jones,SPE_E3,4,1,2024-01-21,2026-05-01T10:36:00Z,TRUE
susan.torres@contoso.com,susan.torres,Susan Torres,SPE_E5,8,1,2023-08-03,2026-04-28T03:31:00Z,TRUE
william.campbell@contoso.com,william.campbell,William Campbell,ENTERPRISEPACK,8,1,2025-01-09,2026-03-06T11:00:00Z,TRUE
william.green@contoso.com,william.green,William Green,SPE_E3,8,0,2026-04-26,2026-05-12T08:32:00Z,TRUE
william.robinson@contoso.com,william.robinson,William Robinson,STANDARDPACK,6,1,2022-02-25,2025-06-12T11:00:00Z,TRUE
william.rodriguez@contoso.com,william.rodriguez,William Rodriguez,STANDARDPACK,6,1,2025-12-13,,TRUE
